event_id,start_time,end_time,trade_count,total_volume_eth,total_profit,avg_spread,direction,strong_signal_ratio,arbitrage_type
132,2025-12-02 15:12:59+00:00,2025-12-02 15:12:59+00:00,1,0.1099999998242222,0.31024748211993114,11.82043166014273,buy,0.0,"Buy on Uniswap, Sell on Binance"
133,2025-12-02 15:13:11+00:00,2025-12-02 15:13:11+00:00,4,4.262542521422998,7.8167126482145735,10.136028213952727,buy,0.0,"Buy on Uniswap, Sell on Binance"
134,2025-12-02 15:16:11+00:00,2025-12-02 15:16:11+00:00,1,1.728651282457062,4.656394007615676,11.693657219862871,buy,0.0,"Buy on Uniswap, Sell on Binance"
135,2025-12-02 15:16:23+00:00,2025-12-02 15:16:23+00:00,2,3.0833347823083734,5.096067422440665,10.91619033625534,buy,0.0,"Buy on Uniswap, Sell on Binance"
136,2025-12-02 15:16:47+00:00,2025-12-02 15:16:47+00:00,1,1.5530496615328844,5.858263533581445,12.772103158503796,buy,0.0,"Buy on Uniswap, Sell on Binance"
137,2025-12-02 15:21:35+00:00,2025-12-02 15:21:35+00:00,1,1.5454994117456626,2.204419069654202,10.426347401300063,buy,0.0,"Buy on Uniswap, Sell on Binance"
138,2025-12-02 15:22:35+00:00,2025-12-02 15:22:35+00:00,3,1.929280596870229,1.5950395888393485,9.743015192414532,buy,0.0,"Buy on Uniswap, Sell on Binance"
139,2025-12-02 15:22:59+00:00,2025-12-02 15:22:59+00:00,1,0.0132521967453215,0.04007354610465164,12.023917232348595,buy,0.0,"Buy on Uniswap, Sell on Binance"
140,2025-12-02 15:24:11+00:00,2025-12-02 15:24:11+00:00,1,2.014909483e-08,7.779572038308616e-07,-47.61003238083731,sell,1.0,"Sell on Uniswap, Buy on Binance"
141,2025-12-02 15:29:23+00:00,2025-12-02 15:29:23+00:00,2,5.000000985208218,10.749383645004796,11.877828425264397,buy,0.0,"Buy on Uniswap, Sell on Binance"
142,2025-12-02 15:29:35+00:00,2025-12-02 15:29:35+00:00,1,1.573988460678452,6.982428575944487,13.436137081293964,buy,0.0,"Buy on Uniswap, Sell on Binance"
143,2025-12-02 15:29:59+00:00,2025-12-02 15:29:59+00:00,2,4.401467075062662,31.59235580117539,16.384745009598873,buy,0.0,"Buy on Uniswap, Sell on Binance"
144,2025-12-02 15:32:47+00:00,2025-12-02 15:32:47+00:00,2,2.887219201660098,1.3472261191447479,-10.485405435514622,sell,0.0,"Sell on Uniswap, Buy on Binance"
145,2025-12-02 15:32:59+00:00,2025-12-02 15:32:59+00:00,1,0.0111981469450535,0.04669472338422191,-13.16986163990714,sell,0.0,"Sell on Uniswap, Buy on Binance"
146,2025-12-02 15:40:35+00:00,2025-12-02 15:40:35+00:00,1,1.4997198855219236,3.8265222718975256,11.551491321038156,buy,0.0,"Buy on Uniswap, Sell on Binance"
147,2025-12-02 15:40:59+00:00,2025-12-02 15:40:59+00:00,1,0.0046975885458297,0.011915187596381894,11.536447685900384,buy,0.0,"Buy on Uniswap, Sell on Binance"
148,2025-12-02 15:41:47+00:00,2025-12-02 15:41:47+00:00,3,0.7772884411173877,2.35812291018583,12.802131751275889,buy,0.0,"Buy on Uniswap, Sell on Binance"
